STN,YYYYMMDD,FHVEC,  FHX,   TG,   TN,   TX,    Q,   RH
  260,20160419,   27,   50,   97,   40,  136, 1720,    0
  260,20160420,   27,   50,   86,   30,  138, 2274,    0
  260,20160421,   35,   50,  101,   27,  166, 2331,    0
  260,20160422,   36,   50,   87,   57,  125, 1614,    0
  260,20160423,   30,   70,   62,   30,   93, 1693,   30
  260,20160424,   32,   60,   46,   21,   88, 1739,   22
  260,20160425,   29,   60,   49,   17,   80,  776,   41
  260,20160426,   47,   80,   48,   13,   77, 1150,  119
  260,20160427,   34,   60,   60,   32,  107, 1601,   28
  260,20160428,   21,   50,   58,    7,   93, 1726,   10
  260,20160429,   49,   70,   74,   46,  106, 1051,  100
  260,20160430,   22,   50,   77,   28,  112, 1663,    0
  260,20160501,   20,   40,   79,   -1,  141, 2523,    0
  260,20160502,   30,   50,  115,   16,  179, 2203,    1
  260,20160503,   32,   50,   97,   30,  140, 2381,   35
  260,20160504,   17,   30,   95,   17,  160, 2059,    0
  260,20160505,   31,   60,  128,   29,  188, 2676,    0
  260,20160506,   33,   60,  164,   81,  236, 2601,    0
  260,20160507,   34,   60,  195,   94,  258, 2653,    0
  260,20160508,   51,   70,  201,  127,  252, 2663,    0
  260,20160509,   56,   80,  202,  142,  253, 2586,    0
  260,20160510,   32,   50,  189,  154,  221, 1247,   -1
  260,20160511,   33,   50,  204,  141,  255, 1986,   -1
  260,20160512,   53,   90,  202,  144,  251, 2432,    0
  260,20160513,   50,   70,  154,   97,  222, 2685,    0
  260,20160514,   43,   60,   89,   64,  121, 1734,   -1
  260,20160515,   34,   60,   86,   53,  121, 1883,    1
  260,20160516,   24,   40,   93,   40,  136, 1511,    3
  260,20160517,   24,   50,  123,   50,  181, 1647,    0
  260,20160518,   25,   40,  136,   83,  187, 1322,    4
  260,20160519,   20,   40,  134,  104,  173, 1156,    2
  260,20160520,   34,   50,  137,  107,  186,  870,    5
  260,20160521,   37,   60,  179,  107,  234, 1797,   -1
  260,20160522,    4,   40,  155,  129,  190,  672,  153
  260,20160523,   42,   60,  120,  105,  133,  579,  184
  260,20160524,   36,   50,  114,   98,  146, 1516,   -1
  260,20160525,   12,   30,  118,   77,  145,  619,    1
  260,20160526,   17,   40,  137,   56,  193, 2018,    0
  260,20160527,   31,   50,  160,  106,  209, 1855,    0
  260,20160528,   23,   40,  176,  112,  227, 1912,   -1
  260,20160529,   34,   50,  172,  140,  205,  922,    4
  260,20160530,   48,   70,  162,  153,  180,  499,   66
  260,20160531,   25,   50,  182,  131,  226, 1726,    0
  260,20160601,   37,   60,  192,  154,  243, 1726,   15
  260,20160602,   47,   60,  153,  137,  172,  622,   -1
  260,20160603,   20,   30,  164,  137,  214, 1160,   -1
  260,20160604,   18,   50,  201,  141,  275, 2095,    5
  260,20160605,   34,   50,  200,  137,  256, 2874,    0
  260,20160606,   28,   40,  189,  117,  256, 2955,    0
  260,20160607,   29,   50,  201,  153,  265, 2438,   -1
  260,20160608,   27,   60,  161,  127,  216, 2180,    0
  260,20160609,   29,   40,  153,  110,  203, 2959,    0
  260,20160610,   16,   30,  164,  108,  212, 2421,   -1
  260,20160611,   13,   30,  162,  120,  208, 1518,   13
  260,20160612,    5,   20,  166,  135,  211, 1111,   33
  260,20160613,   24,   50,  159,  146,  190, 1192,   26
  260,20160614,   25,   50,  152,  111,  191, 1170,  224
  260,20160615,   14,   30,  146,  113,  187, 1511,   62
  260,20160616,    5,   30,  157,   92,  211, 2111,   26
  260,20160617,   16,   40,  151,  111,  195, 1328,   40
  260,20160618,   28,   50,  141,   99,  171, 1559,   11
  260,20160619,   16,   40,  153,  121,  189, 1973,   -1
  260,20160620,   41,   60,  155,  141,  168,  429,  182
  260,20160621,   20,   40,  170,  134,  201,  899,   39
  260,20160622,   19,   30,  201,  147,  249, 2151,    0
  260,20160623,    9,   40,  220,  182,  284, 1647,  495
  260,20160624,   18,   30,  192,  133,  227, 1394,    7
  260,20160625,   14,   30,  154,  109,  193, 1149,   14
  260,20160626,   27,   40,  149,  121,  183, 1267,  190
  260,20160627,   23,   50,  149,  109,  189, 1050,   23
  260,20160628,   21,   40,  167,   92,  218, 2039,   50
  260,20160629,   41,   70,  160,  132,  202, 1690,   16
  260,20160630,   37,   50,  164,  144,  192,  860,   76
  260,20160701,   48,   70,  169,  143,  198,  816,   22
  260,20160702,   46,   70,  154,  120,  187, 2224,   15
  260,20160703,   19,   40,  147,   99,  198, 1872,  178
  260,20160704,   10,   30,  170,   86,  228, 2559,    0
  260,20160705,   35,   60,  154,  115,  181, 1107,   19
  260,20160706,   23,   40,  149,   94,  194, 2504,    5
  260,20160707,   21,   50,  168,   83,  221, 2082,    0
  260,20160708,   33,   60,  175,  151,  212,  973,   47
  260,20160709,   32,   50,  197,  146,  236, 1800,    0
  260,20160710,   31,   50,  213,  159,  274, 2320,    0
  260,20160711,   59,   80,  186,  162,  217, 1663,    0
  260,20160712,   26,   50,  166,  125,  203, 1551,   99
  260,20160713,   12,   50,  145,  111,  183, 1261,   42
  260,20160714,   27,   50,  145,   87,  192, 1921,    0
  260,20160715,   25,   50,  166,   91,  213, 2270,    0
  260,20160716,   30,   50,  197,  169,  226, 1143,    0
  260,20160717,   24,   40,  198,  145,  238, 2018,   -1
  260,20160718,   13,   40,  202,  132,  265, 2749,    0
  260,20160719,   19,   30,  228,  120,  295, 2714,    0
  260,20160720,   20,   60,  254,  188,  329, 2308,    0
  260,20160721,   21,   40,  218,  164,  274, 2368,    0
  260,20160722,    8,   20,  211,  168,  261, 1734,  117
  260,20160723,   21,   40,  211,  176,  253, 1911,    0
  260,20160724,    5,   30,  207,  155,  255, 1635,    0
  260,20160725,   19,   40,  182,  126,  224, 1123,    5
  260,20160726,    5,   30,  184,  114,  234, 1494,    0
  260,20160727,   30,   50,  179,  160,  213, 1230,   64
  260,20160728,   21,   50,  190,  154,  235, 1863,    5
  260,20160729,   35,   50,  183,  154,  212, 1083,   38
  260,20160730,   16,   50,  177,  160,  209,  909,   72
  260,20160731,   22,   50,  170,  129,  205, 1608,    2
  260,20160801,   16,   50,  165,  131,  210, 1883,   68
  260,20160802,   26,   40,  166,  136,  186,  614,   83
  260,20160803,   52,   70,  190,  164,  217,  929,   19
  260,20160804,   41,   60,  173,  150,  208, 1096,   -1
  260,20160805,   23,   50,  176,  129,  216, 2066,    0
  260,20160806,   18,   50,  164,  105,  224, 1601,   64
  260,20160807,   40,   60,  184,  105,  228,  974,    0
  260,20160808,   36,   60,  172,  125,  205, 1840,    1
