STN,YYYYMMDD,FHVEC,  FHX,   TG,   TN,   TX,    Q,   RH
  260,20170421,   32,   60,  111,   82,  149,  992,    8
  260,20170422,   35,   60,   78,   40,  113, 1524,    6
  260,20170423,   18,   40,   66,   20,  114, 1366,    1
  260,20170424,   37,   60,   93,   52,  130,  958,   27
  260,20170425,   34,   60,   59,   21,   99, 1824,   20
  260,20170426,   19,   40,   50,  -14,  104, 1821,    3
  260,20170427,   24,   50,   61,  -20,  109, 1905,    2
  260,20170428,   19,   40,   76,   30,  117, 1324,   19
  260,20170429,    6,   30,   76,    5,  140, 1829,   -1
  260,20170430,   58,   90,  123,   33,  184, 2347,    0
  260,20170501,   24,   60,  117,   82,  137,  872,    9
  260,20170502,   19,   50,  100,   47,  152,  925,   47
  260,20170503,   30,   40,  107,   77,  152,  842,   35
  260,20170504,   50,   70,  104,   77,  133, 1453,   -1
  260,20170505,   33,   60,   89,   66,  111,  702,   -1
  260,20170506,   39,   60,  128,   59,  188, 2430,    0
  260,20170507,   31,   50,  117,   86,  162, 1233,    0
  260,20170508,   34,   70,   97,   43,  153, 1449,   -1
  260,20170509,   22,   40,   80,   11,  138, 1791,    0
  260,20170510,   10,   30,   90,   -1,  159, 2393,    0
  260,20170511,   30,   50,  154,   47,  228, 2408,    3
  260,20170512,   23,   50,  155,  120,  212, 1248,  125
  260,20170513,   21,   50,  140,   85,  190, 1250,  100
  260,20170514,   22,   60,  134,   66,  199, 1792,   19
  260,20170515,   22,   40,  149,   55,  212, 2345,   -1
  260,20170516,   21,   40,  204,  152,  262, 1521,   -1
  260,20170517,   23,   50,  223,  144,  284, 2291,    0
  260,20170518,    8,   60,  165,  144,  211, 1128,    3
  260,20170519,   37,   80,  136,  105,  167,  822,    1
  260,20170520,   26,   50,  125,   74,  173, 2101,   12
  260,20170521,    8,   30,  144,   54,  202, 2230,    0
  260,20170522,   16,   40,  176,   81,  246, 2615,    0
  260,20170523,   27,   60,  161,   99,  210, 2560,    0
  260,20170524,   21,   50,  159,   90,  223, 2171,    0
  260,20170525,   20,   40,  174,   92,  230, 2832,    0
  260,20170526,   36,   60,  203,  110,  266, 2898,    0
  260,20170527,   25,   60,  229,  160,  319, 2826,    0
  260,20170528,    7,   40,  205,  149,  266, 2612,    0
  260,20170529,    3,   60,  219,  154,  286, 2279,    3
  260,20170530,   38,   50,  183,  155,  212, 1517,    0
  260,20170531,   20,   50,  174,  107,  222, 2231,    0
  260,20170601,   14,   30,  166,   75,  234, 2927,    0
  260,20170602,    9,   40,  198,  108,  266, 2274,    0
  260,20170603,   21,   50,  184,  143,  237, 1790,   21
  260,20170604,   27,   50,  154,   87,  195, 2386,    0
  260,20170605,   37,   70,  171,   84,  229, 2048,    0
  260,20170606,   57,  100,  141,  110,  174, 1034,  105
  260,20170607,   61,   80,  140,  113,  174, 1051,   51
  260,20170608,   37,   60,  168,  117,  232, 1770,    3
  260,20170609,   35,   60,  165,  130,  196, 1619,  212
  260,20170610,   28,   50,  178,  117,  239, 2418,    0
  260,20170611,   26,   50,  199,  121,  271, 1965,   -1
  260,20170612,   41,   60,  161,  145,  178,  939,   -1
  260,20170613,   21,   40,  163,   93,  208, 2103,    0
  260,20170614,   12,   30,  174,   75,  244, 2995,    0
  260,20170615,   24,   60,  200,  120,  264, 2538,    0
  260,20170616,   34,   50,  162,  129,  180, 1332,    0
  260,20170617,   22,   40,  186,  129,  232, 1659,    0
  260,20170618,    7,   30,  208,  111,  278, 2607,    0
  260,20170619,    5,   30,  236,  137,  309, 2883,    0
  260,20170620,   37,   50,  216,  149,  274, 2392,    0
  260,20170621,   20,   40,  214,  131,  291, 2643,    0
  260,20170622,   34,   60,  229,  171,  308, 2226,   13
  260,20170623,   42,   60,  196,  168,  232, 2113,    0
  260,20170624,   45,   50,  171,  163,  179,  371,   55
  260,20170625,   37,   50,  175,  154,  190,  815,   46
  260,20170626,   21,   40,  168,  123,  206, 2441,    0
  260,20170627,   36,   50,  173,  113,  218, 1624,   28
  260,20170628,   16,   40,  180,  150,  219,  613,   31
  260,20170629,   18,   40,  175,  133,  217, 1276,    1
  260,20170630,   21,   50,  162,  116,  208, 1062,   42
  260,20170701,   25,   50,  161,  139,  210,  874,   69
  260,20170702,   25,   50,  156,   89,  196, 1654,    6
  260,20170703,   32,   60,  166,   81,  220, 1956,   10
  260,20170704,    8,   20,  186,  150,  232, 2048,   -1
  260,20170705,   16,   40,  190,  120,  248, 1919,    0
  260,20170706,   13,   30,  199,  108,  265, 2191,  170
  260,20170707,   20,   50,  206,  153,  260, 2189,   -1
  260,20170708,   14,   40,  186,  113,  245, 1570,   -1
  260,20170709,   17,   30,  172,   91,  232, 2711,    0
  260,20170710,   10,   50,  196,  140,  259, 1948,    1
  260,20170711,   28,   40,  177,  153,  207, 1095,   33
  260,20170712,   21,   60,  149,   89,  182, 1085,  268
  260,20170713,    3,   20,  146,   74,  205, 1763,    0
  260,20170714,   21,   60,  142,   80,  186, 1396,  176
  260,20170715,   21,   40,  172,  109,  215, 1550,   -1
  260,20170716,   18,   40,  186,  160,  221,  931,   12
  260,20170717,   18,   30,  186,  130,  231, 2859,   -1
  260,20170718,   35,   50,  199,  120,  252, 2623,    0
  260,20170719,   23,   70,  235,  180,  294, 1972,    1
  260,20170720,   28,   60,  191,  135,  242, 1394,  210
  260,20170721,   19,   50,  182,  128,  227, 2746,    0
  260,20170722,   18,   50,  194,  145,  242, 1888,   35
  260,20170723,   31,   60,  160,  132,  191, 1429,  112
  260,20170724,   15,   50,  161,  119,  202, 2152,   25
  260,20170725,   32,   60,  167,  140,  200, 1229,   83
  260,20170726,   21,   50,  190,  138,  236, 2221,    1
  260,20170727,   39,   60,  185,  162,  214, 1676,   -1
  260,20170728,   49,   70,  172,  148,  210, 1490,   17
  260,20170729,   29,   70,  182,  162,  205,  808,   76
  260,20170730,   36,   70,  188,  133,  229, 1761,   14
  260,20170731,   20,   50,  181,  126,  228, 1827,   -1
  260,20170801,    9,   20,  178,  125,  227, 1409,    0
  260,20170802,   24,   70,  176,  135,  220, 1286,   30
  260,20170803,   55,   90,  190,  165,  225, 1635,   17
  260,20170804,   49,   70,  183,  154,  218, 1948,    6
  260,20170805,   17,   40,  159,  106,  204, 1360,   18
  260,20170806,   17,   40,  158,   90,  217, 1869,    0
  260,20170807,    8,   40,  168,   88,  226, 2334,    0
  260,20170808,    4,   40,  162,  141,  196,  520,   65
  260,20170809,   28,   60,  167,  123,  213, 1736,   -1
  260,20170810,   13,   30,  157,   97,  205,  952,   24
  260,20170811,   15,   40,  167,  120,  203, 1631,    2
  260,20170812,   24,   40,  168,  125,  216, 1060,   44
  260,20170813,    6,   30,  162,  100,  215, 1860,    0
  260,20170814,   21,   40,  179,  105,  241, 2118,    0
  260,20170815,    4,   30,  179,  136,  218,  751,   15
  260,20170816,   12,   30,  176,  116,  233, 1584,    0
  260,20170817,   31,   50,  173,  121,  199,  519,   23
  260,20170818,   32,   50,  169,  130,  201,  882,   62
  260,20170819,   37,   50,  154,  127,  196, 1446,  104
  260,20170820,   29,   50,  158,  115,  198, 1816,   -1
  260,20170821,   10,   40,  159,  112,  208, 1034,    0
  260,20170822,   19,   40,  182,  129,  235, 1942,    0
  260,20170823,   20,   40,  196,  129,  250, 1786,    0
  260,20170824,   25,   40,  179,  111,  222, 1360,   -1
  260,20170825,    8,   20,  169,  102,  234, 1891,    0
  260,20170826,   11,   30,  182,  100,  250, 1739,    0
  260,20170827,    9,   20,  178,  110,  247, 1871,    0
  260,20170828,    4,   30,  187,  106,  268, 1958,    0
  260,20170829,    4,   40,  210,  122,  290, 1687,   15
  260,20170830,   18,   50,  178,  135,  225,  530,   88
  260,20170831,   19,   40,  144,   95,  197, 1336,   20
  260,20170901,    6,   30,  147,   98,  193, 1193,    3
  260,20170902,   12,   30,  133,   77,  194, 1519,    0
  260,20170903,   11,   30,  130,   57,  200, 1493,    0
  260,20170904,   22,   40,  158,   84,  216, 1585,    0
  260,20170905,   24,   40,  186,  158,  217,  795,    6
  260,20170906,   34,   60,  159,  136,  183, 1107,   37
  260,20170907,   31,   50,  156,  130,  185,  850,   28
  260,20170908,   50,   60,  151,  139,  158,  268,  172
  260,20170909,   22,   40,  132,   82,  177,  979,  125
  260,20170910,   49,   80,  139,   82,  177, 1254,    9
  260,20170911,   64,   90,  141,  117,  174,  921,   95
  260,20170912,   43,   70,  146,  122,  183, 1522,    1
  260,20170913,   65,   90,  141,  108,  176, 1243,  125
  260,20170914,   36,   70,  117,  102,  144,  647,  207
  260,20170915,   27,   50,  125,   97,  164, 1165,   41
  260,20170916,   14,   30,  106,   62,  129,  546,  139
  260,20170917,    7,   30,  108,   48,  172, 1274,   -1
  260,20170918,   19,   30,  120,   74,  162, 1081,    8
  260,20170919,   11,   20,  120,   80,  174, 1052,   -1
  260,20170920,   22,   40,  135,   80,  175,  841,    6
  260,20170921,   21,   40,  134,   89,  186, 1277,    0
  260,20170922,    6,   20,  119,   58,  192,  784,    8
  260,20170923,    9,   20,  109,   39,  183, 1422,    0
  260,20170924,   17,   30,  121,   45,  204, 1408,    0
  260,20170925,   23,   40,  142,   97,  181,  766,    0
  260,20170926,   19,   30,  132,   86,  172,  792,    0
  260,20170927,   20,   40,  136,   66,  202, 1108,    0
  260,20170928,   22,   40,  158,  127,  206,  652,   11
  260,20170929,   24,   50,  171,  127,  227, 1018,  166
  260,20170930,   11,   20,  131,   77,  157,  296,   24
  260,20171001,   45,   70,  141,   97,  174,  727,   -1
  260,20171002,   47,   70,  156,  134,  179,  648,    6
  260,20171003,   32,   50,  136,  118,  164,  906,   16
  260,20171004,   41,   60,  130,  114,  152,  542,   28
  260,20171005,   45,   90,  129,  103,  160,  802,  252
  260,20171006,   28,   50,  116,   95,  150,  912,   32
  260,20171007,   39,   70,  122,  106,  143,  204,  159
  260,20171008,   14,   30,  121,   97,  147,  604,    1
  260,20171009,   18,   30,  121,  101,  134,  138,  104
  260,20171010,   40,   60,  143,  124,  158,  360,    3
  260,20171011,   60,   70,  148,  142,  161,  413,    2
  260,20171012,   35,   60,  134,  108,  161,  809,    2
  260,20171013,   37,   60,  153,  109,  182,  512,    0
  260,20171014,   28,   50,  148,   96,  199,  995,    0
  260,20171015,   27,   40,  158,   93,  221, 1004,    0
  260,20171016,   27,   40,  186,  137,  244,  881,    0
  260,20171017,   22,   40,  129,   82,  166,  382,    0
  260,20171018,   14,   30,  137,  104,  186,  827,    0
  260,20171019,   28,   40,  157,  101,  204,  798,   -1
  260,20171020,   52,   80,  137,  104,  167,  330,   73
  260,20171021,   47,   70,  132,  104,  175,  581,    5
  260,20171022,   44,   60,  108,   96,  132,  461,  132
  260,20171023,   28,   50,  126,  103,  152,  580,    1
  260,20171024,   45,   60,  153,  130,  171,  152,    8
  260,20171025,   34,   60,  142,   90,  171,  302,   -1
  260,20171026,   22,   40,  140,  127,  175,  522,    0
  260,20171027,   26,   50,  118,   99,  144,  685,    4
  260,20171028,   51,   80,  124,   93,  153,  227,   16
  260,20171029,   47,   80,  107,   68,  152,  593,   10
  260,20171030,   18,   40,   83,   45,  121,  665,   -1
  260,20171031,   36,   50,  101,   82,  112,  208,   -1
  260,20171101,   32,   50,  112,   96,  135,  290,    0
  260,20171102,   20,   40,   98,   38,  140,  419,   -1
  260,20171103,   14,   30,   88,   34,  124,  255,    5
  260,20171104,   27,   50,  106,   74,  131,  430,   30
  260,20171105,   20,   40,   78,   50,  109,  413,   48
  260,20171106,   11,   20,   48,   -5,  109,  596,    4
  260,20171107,   11,   20,   33,  -13,   98,  663,    0
  260,20171108,   16,   30,   59,   24,   76,  151,    0
  260,20171109,   33,   50,   87,   62,  111,  357,   14
  260,20171110,   37,   70,   92,   58,  118,  316,   29
  260,20171111,   25,   50,   66,   38,   94,  202,   37
  260,20171112,   17,   40,   52,   32,   64,  191,   74
  260,20171113,   25,   50,   62,   10,  103,  529,   13
  260,20171114,   38,   60,   77,   27,   92,  217,    4
  260,20171115,   27,   40,   94,   85,  102,  107,   23
  260,20171116,   22,   40,   93,   62,  107,   78,   18
  260,20171117,   13,   30,   56,    6,  110,  423,    0
  260,20171118,   30,   60,   69,   35,   96,  217,   50
  260,20171119,   30,   50,   67,   44,   99,  419,   19
  260,20171120,   35,   50,   78,   46,  118,   63,   97
  260,20171121,   42,   60,  115,  106,  124,   51,   13
  260,20171122,   60,   70,  114,  105,  133,  340,   13
  260,20171123,   58,  100,  111,   82,  144,  142,    8
  260,20171124,   15,   40,   69,   43,   92,  241,   16
  260,20171125,   24,   40,   37,   -6,   74,  256,    2
  260,20171126,   33,   50,   53,   30,   80,  334,   57
  260,20171127,   49,   80,   67,   47,   91,   75,  152
  260,20171128,   30,   40,   54,   12,   78,  220,    9
  260,20171129,   16,   30,   29,    6,   40,  107,    1
  260,20171130,   14,   30,   15,  -24,   46,  202,    6
  260,20171201,   11,   30,    0,  -28,   31,  171,   -1
  260,20171202,   24,   40,   -4,  -12,    6,  127,   -1
  260,20171203,   23,   40,   37,    3,   66,   87,   20
  260,20171204,   24,   30,   70,   52,   91,  159,   25
  260,20171205,   31,   50,   76,   54,   91,   78,    0
  260,20171206,   45,   70,   80,   69,   92,   97,    0
  260,20171207,   56,   80,   59,   43,   72,   41,   78
  260,20171208,   39,   60,   26,    3,   61,  111,  154
  260,20171209,   38,   60,   21,    4,   46,  142,  125
  260,20171210,   24,   80,   11,    0,   41,   36,  128
  260,20171211,   39,   70,   -1,  -29,   16,   50,   98
  260,20171212,   26,   40,   18,    3,   41,  310,    5
  260,20171213,   50,   70,   40,    8,   64,   56,  138
  260,20171214,   38,   50,   33,    4,   54,   93,  150
  260,20171215,   17,   40,   26,   -2,   43,   94,    2
  260,20171216,   21,   40,   27,    1,   62,  238,   14
  260,20171217,   27,   60,   25,  -28,   63,  324,   49
  260,20171218,   26,   50,   59,   22,   80,  138,    8
  260,20171219,   21,   40,   52,   13,   75,  166,   -1
  260,20171220,   14,   30,   75,   49,   87,   76,    3
  260,20171221,   15,   30,   84,   76,   93,   75,    3
  260,20171222,    7,   30,   86,   73,   96,   94,   25
  260,20171223,   47,   60,   87,   80,   94,   46,   -1
  260,20171224,   55,   70,   82,   72,   96,   65,    7
  260,20171225,   58,   70,   74,   45,   91,   76,    4
  260,20171226,   55,   80,   58,   46,   74,  208,   12
  260,20171227,   27,   70,   51,   36,   66,   84,   73
  260,20171228,   35,   60,   39,   24,   53,  291,    7
  260,20171229,   39,   70,   28,   -7,   67,  104,   67
  260,20171230,   49,   80,   88,   39,  122,  111,   37
  260,20171231,   61,  100,  106,   85,  137,   85,  393
  260,20180101,   45,   90,   68,   52,   88,  224,   47
